368,PTIS,Indo Straits Tbk.,550.165.300,Pengembangan
369,PTPP,PP (Persero) Tbk.,6.199.897.354,Utama
370,PTRO,Petrosea Tbk.,1.008.605.000,Utama
371,PTSN,Sat Nusapersada Tbk,5.314.344.000,Pengembangan
372,PTSP,Pioneerindo Gourmet Internatio,220.808.000,Pengembangan
373,PUDP,Pudjiadi Prestige Tbk.,659.120.000,Utama
374,PWON,Pakuwon Jati Tbk.,48.159.602.400,Utama
375,PYFA,Pyridam Farma Tbk,11.236.680.171,Pengembangan
376,RAJA,Rukun Raharja Tbk.,4.227.082.500,Utama
377,RALS,Ramayana Lestari Sentosa Tbk.,7.096.000.000,Utama
